splpk,splrms,dissim,impulsivity,peakcount,day_of_week,time_of_day,time_since_exposure
149.3965678557478,113.14644704441537,0.023951955380200524,103.7002002014239,0,Saturday,17:00,-1
142.4140458,114.67691314971212,0.019713674,100.24767836407898,1,Saturday,17:10,-1
124.16507209124553,104.96889889569992,0.014101665785003376,3.763341610487957,0,Saturday,17:20,-1
133.86509067652008,106.08604047929089,0.012104918,20.33802683928088,1,Saturday,17:30,-1
133.30209112761338,106.54276048528544,0.014521428142577657,17.30674996981659,0,Saturday,17:40,-1
134.99080119405428,108.29199326184909,0.012452951359592838,11.249713864246544,1,Saturday,17:50,-1
124.32346463918778,106.69016532903628,0.012053197449431776,3.4425501586513225,0,Saturday,18:00,-1
133.23351333591364,106.39897901757467,0.012891069590644037,12.869890821085646,1,Saturday,18:10,-1
136.45212864048915,107.23727969590593,0.012234051297036865,25.65463567918667,1,Saturday,18:20,-1
169.28942531192249,121.62166913209415,0.031423734771632086,25484.669088540777,1,Saturday,18:30,-1
170.5085213887834,135.6620873296817,0.19493116908739375,602.7036269452635,1,Saturday,18:40,-1
155.94320146080892,118.83566859235331,0.094809873,92.80574220581039,0,Saturday,18:50,-1
146.04724551765125,110.3324396545514,0.076723988,95.27312936,1,Saturday,19:00,-1
120.92685694026025,104.94349594348238,0.012081384763321152,3.1905688258751095,1,Saturday,19:10,-1
142.5719431043293,108.48093685787123,0.025701755,118.89047452987344,3,Saturday,19:20,-1
123.77535483646477,106.80215858194806,0.012307964598471341,3.170365447191117,0,Saturday,19:30,-1
134.35355965208362,109.20499008066508,0.012347144,7.319326875,1,Saturday,19:40,-1
138.25685631046832,108.38977122318803,0.011912204664285199,39.669068740636035,0,Saturday,19:50,-1
136.47347476021326,106.98921592854398,0.012246103642618276,43.58084196389334,0,Saturday,20:00,-1
133.7899722792362,110.54964081528871,0.017129693,7.270699473215338,1,Saturday,20:10,-1
134.0936489583608,107.41278235562976,0.012936488,19.674086182636568,3,Saturday,20:20,-1
127.9306033110831,105.46473578814583,0.012594028033251938,3.7735557578439636,0,Saturday,20:30,-1
134.9312762036338,111.7751658031669,0.019574015208472635,3.5995437259874987,0,Saturday,20:40,-1
135.74870019747553,107.90608530961629,0.012199057536269846,15.432020522735868,0,Saturday,20:50,-1
120.72364961315489,104.9185756646476,0.012869779070715922,3.1469394232066885,1,Saturday,21:00,-1
138.10892938210472,109.6729347579979,0.014444958308948614,5.311925633030568,1,Saturday,21:10,-1
132.03487857342137,108.10910070023425,0.012404159895335878,7.853180093282423,1,Saturday,21:20,-1
137.4103011784806,117.80990565923136,0.027035745677908795,3.4833909632012667,0,Saturday,21:30,-1
136.8478162037579,108.77199326234813,0.012384577536676185,37.05190957601094,2,Saturday,21:40,-1
134.24262089199448,107.60730667053693,0.012322943435097933,13.248691985216544,0,Saturday,21:50,-1
133.9810710965894,108.02256023281929,0.014594954389734932,21.075701411461512,0,Saturday,22:00,-1
133.88989884286508,107.74439510380071,0.012961073169946179,18.239111104121974,0,Saturday,22:10,-1
127.75648431101283,106.91156028568301,0.011809178496179426,3.4477155921799025,0,Saturday,22:20,-1
131.55186199911728,106.39986345787959,0.011903511703687088,7.086786472680325,1,Saturday,22:30,-1
134.3456853302609,106.84779186243568,0.011979843362597633,17.35362975721371,1,Saturday,22:40,-1
121.78869430973268,104.54830564857927,0.012017510779527799,3.2507552970709415,0,Saturday,22:50,-1
129.7416305097609,107.81376016006332,0.017715918353800538,3.6641416022714495,0,Saturday,23:00,-1
128.03522979241583,106.0519757649306,0.011620459731509493,4.910299029024619,0,Saturday,23:10,-1
129.56798672625666,109.53597744734273,0.015655315459418076,6.447228237229785,0,Saturday,23:20,-1
126.5531193297941,105.25444826760983,0.011719965300889111,3.7961478155040034,0,Saturday,23:30,-1
128.16313684596616,105.35550909014108,0.011777388,4.733033243157082,0,Saturday,23:40,-1
128.4318293113034,105.82741027793242,0.011634186396594953,3.982918628097351,0,Saturday,23:50,-1
125.42096622781162,106.87012432979158,0.012127968738676314,3.274820511464033,0,Sunday,0:00,-1
127.1296888412376,105.23455960678416,0.012157294958275151,4.823963253754419,1,Sunday,0:10,-1
131.9133355277881,108.38311626122938,0.011719769,6.425460073505935,1,Sunday,0:20,-1
130.45860404061702,109.12619060633448,0.011551857402903274,3.519635948200534,0,Sunday,0:30,-1
119.87924138417063,104.37648219322796,0.011828721971055122,3.0933554350232555,0,Sunday,0:40,-1
129.03930164955733,106.4580527648461,0.012369275772090276,4.004669031,0,Sunday,0:50,-1
128.4339560466441,107.4745476283667,0.011796277185143991,3.626691164312883,0,Sunday,1:00,-1
135.89617147270664,109.08669863625724,0.011782272,5.048187195859602,0,Sunday,1:10,-1
131.54409089795666,109.22522916417996,0.011651088603220647,5.190025469423938,0,Sunday,1:20,-1
130.74301320866553,108.90658771883027,0.012253650957527451,4.713652076361053,0,Sunday,1:30,-1
127.30049545222974,106.63184289098737,0.012414520914938835,3.8524141837316805,1,Sunday,1:40,-1
127.55875535515345,106.8142545933761,0.011474154580586015,3.6452101624462823,0,Sunday,1:50,-1
128.70310462655002,105.12312618690686,0.012142426,6.502897705256413,0,Sunday,2:00,-1
127.78384733805886,105.87514606794349,0.011950328701055788,4.51195803,1,Sunday,2:10,-1
123.74072391704678,104.12710446723008,0.016983717555589826,3.5985162058374516,1,Sunday,2:20,-1
122.43340556247267,103.14125569556717,0.012220412,3.346707592579059,0,Sunday,2:30,-1
124.05343503495055,103.32850663594385,0.011820071144147655,3.1891457472552633,0,Sunday,2:40,-1
